Distance,average_rssi,total_measurements,number_different_mac_addresses,time_between_first_and_last_measurement,lowest_rssi,highest_rssi
0,-36.494623655913976,93,8,59.0,-87,-22
Overall,-36.494623655913976,93,8,59.0,-87,-22
