RSSI-Value,MAC-Address,Timestamp,Distance
-18,D0:BC:39:A2:48:EB,2024-10-17 08:46:46,0
-18,D5:12:A0:9F:D5:22,2024-10-17 08:46:48,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:46:50,0
-18,D0:BC:39:A2:48:EB,2024-10-17 08:46:52,0
-18,D5:12:A0:9F:D5:22,2024-10-17 08:46:52,0
-21,D5:12:A0:9F:D5:22,2024-10-17 08:46:54,0
-18,D0:BC:39:A2:48:EB,2024-10-17 08:46:56,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:46:58,0
-17,D5:12:A0:9F:D5:22,2024-10-17 08:47:00,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:47:02,0
-20,D5:12:A0:9F:D5:22,2024-10-17 08:47:04,0
-18,D0:BC:39:A2:48:EB,2024-10-17 08:47:06,0
-18,D5:12:A0:9F:D5:22,2024-10-17 08:47:08,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:47:10,0
-17,D5:12:A0:9F:D5:22,2024-10-17 08:47:12,0
-18,D0:BC:39:A2:48:EB,2024-10-17 08:47:14,0
-21,D5:12:A0:9F:D5:22,2024-10-17 08:47:16,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:47:18,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:47:22,0
-21,D5:12:A0:9F:D5:22,2024-10-17 08:47:22,0
-18,D0:BC:39:A2:48:EB,2024-10-17 08:47:24,0
-20,D5:12:A0:9F:D5:22,2024-10-17 08:47:26,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:47:28,0
-18,D0:BC:39:A2:48:EB,2024-10-17 08:47:30,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:47:32,0
-17,D5:12:A0:9F:D5:22,2024-10-17 08:47:34,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:47:36,0
-21,D5:12:A0:9F:D5:22,2024-10-17 08:47:38,0
-18,D0:BC:39:A2:48:EB,2024-10-17 08:47:40,0
-18,D5:12:A0:9F:D5:22,2024-10-17 08:47:42,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:47:44,0
-17,D0:BC:39:A2:48:EB,2024-10-17 08:47:46,0
-21,D5:12:A0:9F:D5:22,2024-10-17 08:47:46,0
-18,D0:BC:39:A2:48:EB,2024-10-17 08:47:50,0
-18,D5:12:A0:9F:D5:22,2024-10-17 08:47:50,0
-21,D5:12:A0:9F:D5:22,2024-10-17 08:47:54,0
