,RSSI-Value,MAC-Address,Timestamp,Distance,indoor
69,-22,CA:2B:3D:A7:0C:C9,2024-10-30 14:14:44,0.0,0
70,-23,ED:7C:A0:C9:37:39,2024-10-30 14:14:44,0.0,0
71,-23,E7:C1:DC:F8:37:CB,2024-10-30 14:14:45,0.0,0
72,-25,F2:C7:6C:15:14:53,2024-10-30 14:14:45,0.0,0
73,-19,CA:2B:3D:A7:0C:C9,2024-10-30 14:14:46,0.0,0
74,-24,ED:7C:A0:C9:37:39,2024-10-30 14:14:46,0.0,0
75,-17,CA:6B:21:3F:49:82,2024-10-30 14:14:47,0.0,0
76,-17,E1:35:8A:20:CA:4D,2024-10-30 14:14:48,0.0,0
77,-23,D1:8A:6B:17:30:48,2024-10-30 14:14:48,0.0,0
78,-20,E9:FF:E4:CA:81:83,2024-10-30 14:14:48,0.0,0
79,-17,F8:93:7C:30:08:2A,2024-10-30 14:14:49,0.0,0
80,-23,E7:C1:DC:F8:37:CB,2024-10-30 14:14:49,0.0,0
81,-24,D1:8A:6B:17:30:48,2024-10-30 14:14:50,0.0,0
82,-19,CA:2B:3D:A7:0C:C9,2024-10-30 14:14:50,0.0,0
83,-24,ED:7C:A0:C9:37:39,2024-10-30 14:14:51,0.0,0
84,-92,F7:2C:89:48:36:9E,2024-10-30 14:14:51,0.0,0
85,-26,C8:18:05:35:AD:86,2024-10-30 14:14:51,0.0,0
86,-25,F2:C7:6C:15:14:53,2024-10-30 14:14:51,0.0,0
87,-17,CA:6B:21:3F:49:82,2024-10-30 14:14:51,0.0,0
88,-17,E1:35:8A:20:CA:4D,2024-10-30 14:14:52,0.0,0
89,-20,E9:FF:E4:CA:81:83,2024-10-30 14:14:52,0.0,0
90,-17,F8:93:7C:30:08:2A,2024-10-30 14:14:53,0.0,0
91,-23,E7:C1:DC:F8:37:CB,2024-10-30 14:14:53,0.0,0
92,-25,F2:C7:6C:15:14:53,2024-10-30 14:14:53,0.0,0
93,-18,CA:6B:21:3F:49:82,2024-10-30 14:14:53,0.0,0
94,-18,E1:35:8A:20:CA:4D,2024-10-30 14:14:54,0.0,0
95,-22,E9:FF:E4:CA:81:83,2024-10-30 14:14:54,0.0,0
96,-17,F8:93:7C:30:08:2A,2024-10-30 14:14:55,0.0,0
97,-25,E7:C1:DC:F8:37:CB,2024-10-30 14:14:55,0.0,0
98,-22,C8:18:05:35:AD:86,2024-10-30 14:14:55,0.0,0
99,-28,F2:C7:6C:15:14:53,2024-10-30 14:14:55,0.0,0
100,-21,CA:6B:21:3F:49:82,2024-10-30 14:14:55,0.0,0
101,-17,E1:35:8A:20:CA:4D,2024-10-30 14:14:56,0.0,0
102,-23,D1:8A:6B:17:30:48,2024-10-30 14:14:56,0.0,0
103,-20,CA:2B:3D:A7:0C:C9,2024-10-30 14:14:56,0.0,0
104,-30,ED:7C:A0:C9:37:39,2024-10-30 14:14:57,0.0,0
105,-25,F2:C7:6C:15:14:53,2024-10-30 14:14:57,0.0,0
106,-18,CA:6B:21:3F:49:82,2024-10-30 14:14:57,0.0,0
107,-18,E1:35:8A:20:CA:4D,2024-10-30 14:14:58,0.0,0
108,-19,CA:2B:3D:A7:0C:C9,2024-10-30 14:14:58,0.0,0
109,-17,F8:93:7C:30:08:2A,2024-10-30 14:14:59,0.0,0
110,-92,F7:2C:89:48:36:9E,2024-10-30 14:14:59,0.0,0
111,-25,E7:C1:DC:F8:37:CB,2024-10-30 14:14:59,0.0,0
112,-22,C8:18:05:35:AD:86,2024-10-30 14:14:59,0.0,0
113,-28,F2:C7:6C:15:14:53,2024-10-30 14:14:59,0.0,0
114,-21,CA:6B:21:3F:49:82,2024-10-30 14:14:59,0.0,0
115,-23,D1:8A:6B:17:30:48,2024-10-30 14:15:00,0.0,0
116,-30,ED:7C:A0:C9:37:39,2024-10-30 14:15:01,0.0,0
117,-22,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:02,0.0,0
118,-23,E7:C1:DC:F8:37:CB,2024-10-30 14:15:03,0.0,0
119,-22,E9:FF:E4:CA:81:83,2024-10-30 14:15:03,0.0,0
120,-25,F2:C7:6C:15:14:53,2024-10-30 14:15:03,0.0,0
121,-24,ED:7C:A0:C9:37:39,2024-10-30 14:15:03,0.0,0
122,-18,CA:6B:21:3F:49:82,2024-10-30 14:15:03,0.0,0
123,-18,E1:35:8A:20:CA:4D,2024-10-30 14:15:04,0.0,0
124,-22,C8:18:05:35:AD:86,2024-10-30 14:15:04,0.0,0
125,-17,F8:93:7C:30:08:2A,2024-10-30 14:15:05,0.0,0
126,-24,D1:8A:6B:17:30:48,2024-10-30 14:15:06,0.0,0
127,-19,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:06,0.0,0
128,-25,E7:C1:DC:F8:37:CB,2024-10-30 14:15:07,0.0,0
129,-21,E9:FF:E4:CA:81:83,2024-10-30 14:15:07,0.0,0
130,-28,F2:C7:6C:15:14:53,2024-10-30 14:15:07,0.0,0
131,-30,ED:7C:A0:C9:37:39,2024-10-30 14:15:07,0.0,0
132,-21,CA:6B:21:3F:49:82,2024-10-30 14:15:07,0.0,0
133,-20,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:08,0.0,0
134,-18,F8:93:7C:30:08:2A,2024-10-30 14:15:09,0.0,0
135,-23,D1:8A:6B:17:30:48,2024-10-30 14:15:10,0.0,0
136,-21,C8:18:05:35:AD:86,2024-10-30 14:15:10,0.0,0
137,-93,F7:2C:89:48:36:9E,2024-10-30 14:15:11,0.0,0
138,-17,F8:93:7C:30:08:2A,2024-10-30 14:15:11,0.0,0
139,-26,D1:8A:6B:17:30:48,2024-10-30 14:15:12,0.0,0
140,-22,C8:18:05:35:AD:86,2024-10-30 14:15:12,0.0,0
141,-22,E9:FF:E4:CA:81:83,2024-10-30 14:15:13,0.0,0
142,-25,F2:C7:6C:15:14:53,2024-10-30 14:15:13,0.0,0
143,-24,ED:7C:A0:C9:37:39,2024-10-30 14:15:13,0.0,0
144,-18,CA:6B:21:3F:49:82,2024-10-30 14:15:13,0.0,0
145,-18,E1:35:8A:20:CA:4D,2024-10-30 14:15:14,0.0,0
146,-19,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:14,0.0,0
147,-18,F8:93:7C:30:08:2A,2024-10-30 14:15:15,0.0,0
148,-23,D1:8A:6B:17:30:48,2024-10-30 14:15:16,0.0,0
149,-21,C8:18:05:35:AD:86,2024-10-30 14:15:16,0.0,0
150,-17,F8:93:7C:30:08:2A,2024-10-30 14:15:17,0.0,0
151,-28,F2:C7:6C:15:14:53,2024-10-30 14:15:17,0.0,0
152,-24,ED:7C:A0:C9:37:39,2024-10-30 14:15:17,0.0,0
153,-18,CA:6B:21:3F:49:82,2024-10-30 14:15:17,0.0,0
154,-17,E1:35:8A:20:CA:4D,2024-10-30 14:15:18,0.0,0
155,-45,D1:8A:6B:17:30:48,2024-10-30 14:15:40,0.1,0
156,-84,CD:80:4C:C8:B8:6D,2024-10-30 14:15:40,0.1,0
157,-54,F8:93:7C:30:08:2A,2024-10-30 14:15:41,0.1,0
158,-50,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:41,0.1,0
159,-53,E7:C1:DC:F8:37:CB,2024-10-30 14:15:41,0.1,0
160,-40,E9:FF:E4:CA:81:83,2024-10-30 14:15:41,0.1,0
161,-53,E7:C1:DC:F8:37:CB,2024-10-30 14:15:41,0.1,0
162,-51,F2:C7:6C:15:14:53,2024-10-30 14:15:41,0.1,0
163,-53,ED:7C:A0:C9:37:39,2024-10-30 14:15:41,0.1,0
164,-41,CA:6B:21:3F:49:82,2024-10-30 14:15:42,0.1,0
165,-41,E1:35:8A:20:CA:4D,2024-10-30 14:15:42,0.1,0
166,-57,C8:18:05:35:AD:86,2024-10-30 14:15:42,0.1,0
167,-41,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:43,0.1,0
168,-47,F8:93:7C:30:08:2A,2024-10-30 14:15:43,0.1,0
169,-46,D1:8A:6B:17:30:48,2024-10-30 14:15:44,0.1,0
170,-87,CD:80:4C:C8:B8:6D,2024-10-30 14:15:44,0.1,0
171,-41,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:45,0.1,0
172,-40,E9:FF:E4:CA:81:83,2024-10-30 14:15:45,0.1,0
173,-55,E7:C1:DC:F8:37:CB,2024-10-30 14:15:45,0.1,0
174,-48,F2:C7:6C:15:14:53,2024-10-30 14:15:45,0.1,0
175,-46,ED:7C:A0:C9:37:39,2024-10-30 14:15:45,0.1,0
176,-41,CA:6B:21:3F:49:82,2024-10-30 14:15:46,0.1,0
177,-51,E1:35:8A:20:CA:4D,2024-10-30 14:15:46,0.1,0
178,-52,C8:18:05:35:AD:86,2024-10-30 14:15:46,0.1,0
179,-44,D1:8A:6B:17:30:48,2024-10-30 14:15:48,0.1,0
180,-46,C8:18:05:35:AD:86,2024-10-30 14:15:48,0.1,0
181,-50,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:49,0.1,0
182,-53,F8:93:7C:30:08:2A,2024-10-30 14:15:49,0.1,0
183,-57,E7:C1:DC:F8:37:CB,2024-10-30 14:15:49,0.1,0
184,-46,F2:C7:6C:15:14:53,2024-10-30 14:15:49,0.1,0
185,-46,ED:7C:A0:C9:37:39,2024-10-30 14:15:49,0.1,0
186,-45,CA:6B:21:3F:49:82,2024-10-30 14:15:50,0.1,0
187,-39,E1:35:8A:20:CA:4D,2024-10-30 14:15:50,0.1,0
188,-40,E9:FF:E4:CA:81:83,2024-10-30 14:15:51,0.1,0
189,-54,E7:C1:DC:F8:37:CB,2024-10-30 14:15:51,0.1,0
190,-54,ED:7C:A0:C9:37:39,2024-10-30 14:15:51,0.1,0
191,-50,F2:C7:6C:15:14:53,2024-10-30 14:15:51,0.1,0
192,-41,CA:6B:21:3F:49:82,2024-10-30 14:15:52,0.1,0
193,-41,E1:35:8A:20:CA:4D,2024-10-30 14:15:52,0.1,0
194,-88,D3:23:DA:DD:89:E1,2024-10-30 14:15:52,0.1,0
195,-58,C8:18:05:35:AD:86,2024-10-30 14:15:52,0.1,0
196,-41,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:53,0.1,0
197,-48,F8:93:7C:30:08:2A,2024-10-30 14:15:53,0.1,0
198,-39,E9:FF:E4:CA:81:83,2024-10-30 14:15:55,0.1,0
199,-61,E7:C1:DC:F8:37:CB,2024-10-30 14:15:55,0.1,0
200,-46,ED:7C:A0:C9:37:39,2024-10-30 14:15:55,0.1,0
201,-46,F2:C7:6C:15:14:53,2024-10-30 14:15:56,0.1,0
202,-45,CA:6B:21:3F:49:82,2024-10-30 14:15:56,0.1,0
203,-38,E1:35:8A:20:CA:4D,2024-10-30 14:15:56,0.1,0
204,-45,D1:8A:6B:17:30:48,2024-10-30 14:15:56,0.1,0
205,-53,CA:2B:3D:A7:0C:C9,2024-10-30 14:15:57,0.1,0
206,-55,F8:93:7C:30:08:2A,2024-10-30 14:15:57,0.1,0
207,-57,C8:18:05:35:AD:86,2024-10-30 14:15:58,0.1,0
208,-40,E9:FF:E4:CA:81:83,2024-10-30 14:15:59,0.1,0
209,-54,E7:C1:DC:F8:37:CB,2024-10-30 14:15:59,0.1,0
210,-47,ED:7C:A0:C9:37:39,2024-10-30 14:16:00,0.1,0
211,-47,F2:C7:6C:15:14:53,2024-10-30 14:16:00,0.1,0
212,-41,CA:6B:21:3F:49:82,2024-10-30 14:16:00,0.1,0
213,-45,D1:8A:6B:17:30:48,2024-10-30 14:16:00,0.1,0
214,-90,CD:80:4C:C8:B8:6D,2024-10-30 14:16:00,0.1,0
215,-52,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:01,0.1,0
216,-53,F8:93:7C:30:08:2A,2024-10-30 14:16:01,0.1,0
217,-41,E1:35:8A:20:CA:4D,2024-10-30 14:16:02,0.1,0
218,-58,C8:18:05:35:AD:86,2024-10-30 14:16:02,0.1,0
219,-41,CA:6B:21:3F:49:82,2024-10-30 14:16:02,0.1,0
220,-40,E9:FF:E4:CA:81:83,2024-10-30 14:16:03,0.1,0
