Distance,average_rssi,total_measurements,number_different_mac_addresses,time_between_first_and_last_measurement,lowest_rssi,highest_rssi
0.0,-18.238095238095237,42,2,78.0,-21,-17
0.1,-37.375,40,2,68.0,-47,-32
0.2,-41.30769230769231,26,2,58.0,-51,-37
0.3,-46.2962962962963,27,2,55.0,-53,-40
0.4,-43.25806451612903,31,2,57.0,-54,-40
0.5,-49.84615384615385,26,2,55.0,-55,-45
0.6,-49.76470588235294,34,2,78.0,-58,-44
0.7,-54.333333333333336,39,2,90.0,-58,-48
0.8,-54.05833333333333,120,2,257.0,-66,-52
0.9,-58.39393939393939,66,2,126.0,-69,-52
1.0,-68.47272727272727,55,2,118.0,-78,-57
1.1,-67.58490566037736,53,2,109.0,-84,-59
1.2,-64.48936170212765,47,2,109.0,-72,-57
1.3,-65.61702127659575,47,2,96.0,-70,-62
1.4,-68.43478260869566,46,2,92.0,-77,-61
1.5,-68.16666666666667,36,2,74.0,-74,-63
1.6,-72.5,38,2,63.0,-85,-64
1.7,-77.93333333333334,30,2,70.0,-90,-66
1.8,-68.5,36,2,68.0,-78,-59
1.9,-70.425,40,2,88.0,-80,-62
2.0,-74.16883116883118,77,2,157.0,-78,-66
Overall,-59.12761506276151,956,2,2197.0,-90,-17
