Distance,average_rssi,total_measurements,number_different_mac_addresses,time_between_first_and_last_measurement,lowest_rssi,highest_rssi
0.0,-29.349462365591396,186,13,60.0,-76,-17
0.3,-53.63841807909605,177,14,60.0,-88,-41
0.4,-55.78606965174129,201,13,61.0,-76,-44
0.5,-61.85641025641026,195,13,62.0,-90,-46
0.6,-61.39772727272727,176,13,64.0,-76,-49
0.7,-62.22560975609756,164,11,61.0,-89,-52
0.8,-63.56172839506173,162,11,58.0,-85,-51
0.9,-62.54117647058823,170,11,63.0,-86,-53
1.0,-64.55714285714286,140,11,55.0,-79,-56
1.1,-63.418685121107266,289,11,109.0,-83,-54
1.2,-65.35971223021583,278,11,110.0,-90,-53
1.3,-65.5,250,11,94.0,-88,-56
1.4,-63.97489539748954,239,11,90.0,-80,-53
1.5,-62.773648648648646,296,11,109.0,-79,-54
1.6,-65.55335968379447,253,13,95.0,-89,-58
1.7,-64.08032128514056,249,11,96.0,-78,-56
1.8,-63.493927125506076,247,11,95.0,-79,-57
1.9,-66.0,230,12,90.0,-89,-57
2.0,-65.8283261802575,233,11,94.0,-83,-56
Overall,-61.594195888754534,4135,18,1892.0,-90,-17
