RSSI-Value,MAC-Address,Timestamp,Distance
-78,E4:58:30:CD:4E:6D,2024-08-28 16:06:01,9
-76,E4:58:30:CD:4E:6D,2024-08-28 16:06:03,9
-73,E4:58:30:CD:4E:6D,2024-08-28 16:06:05,9
-73,E4:58:30:CD:4E:6D,2024-08-28 16:06:07,9
-80,E4:23:79:6E:5C:5E,2024-08-28 16:06:15,9
-72,E4:23:79:6E:5C:5E,2024-08-28 16:06:19,9
-68,FF:B5:B0:5D:C6:42,2024-08-28 16:06:20,9
-71,E4:23:79:6E:5C:5E,2024-08-28 16:06:21,9
-76,FF:B5:B0:5D:C6:42,2024-08-28 16:06:22,9
-80,E4:58:30:CD:4E:6D,2024-08-28 16:06:23,9
-71,E4:58:30:CD:4E:6D,2024-08-28 16:06:25,9
-78,E4:23:79:6E:5C:5E,2024-08-28 16:06:35,9
-69,FF:B5:B0:5D:C6:42,2024-08-28 16:06:36,9
-78,E4:23:79:6E:5C:5E,2024-08-28 16:06:37,9
-79,E4:58:30:CD:4E:6D,2024-08-28 16:06:37,9
-72,E4:23:79:6E:5C:5E,2024-08-28 16:06:39,9
-71,E4:58:30:CD:4E:6D,2024-08-28 16:06:39,9
-78,E4:58:30:CD:4E:6D,2024-08-28 16:06:41,9
-77,E4:58:30:CD:4E:6D,2024-08-28 16:06:43,9
-89,E4:23:79:6E:5C:5E,2024-08-28 16:06:47,9
-78,E4:58:30:CD:4E:6D,2024-08-28 16:06:47,9
-77,E4:23:79:6E:5C:5E,2024-08-28 16:06:49,9
-77,E4:58:30:CD:4E:6D,2024-08-28 16:06:49,9
-73,FF:B5:B0:5D:C6:42,2024-08-28 16:06:52,9
-79,E4:23:79:6E:5C:5E,2024-08-28 16:06:53,9
-70,FF:B5:B0:5D:C6:42,2024-08-28 16:06:54,9
-73,E4:23:79:6E:5C:5E,2024-08-28 16:06:55,9
-75,FF:B5:B0:5D:C6:42,2024-08-28 16:06:56,9
-70,FF:B5:B0:5D:C6:42,2024-08-28 16:06:58,9
-75,E4:23:79:6E:5C:5E,2024-08-28 16:06:59,9
-73,E4:58:30:CD:4E:6D,2024-08-28 16:06:59,9
-78,FF:B5:B0:5D:C6:42,2024-08-28 16:09:51,9.5
-80,FF:B5:B0:5D:C6:42,2024-08-28 16:09:53,9.5
-84,E4:23:79:6E:5C:5E,2024-08-28 16:09:53,9.5
-64,FF:B5:B0:5D:C6:42,2024-08-28 16:09:55,9.5
-71,E4:23:79:6E:5C:5E,2024-08-28 16:09:55,9.5
-72,E4:58:30:CD:4E:6D,2024-08-28 16:09:55,9.5
-91,E4:23:79:6E:5C:5E,2024-08-28 16:09:57,9.5
-81,E4:58:30:CD:4E:6D,2024-08-28 16:09:57,9.5
-71,E4:58:30:CD:4E:6D,2024-08-28 16:09:59,9.5
-75,FF:B5:B0:5D:C6:42,2024-08-28 16:10:01,9.5
-72,E4:58:30:CD:4E:6D,2024-08-28 16:10:01,9.5
-77,E4:58:30:CD:4E:6D,2024-08-28 16:10:03,9.5
-78,FF:B5:B0:5D:C6:42,2024-08-28 16:10:05,9.5
-75,FF:B5:B0:5D:C6:42,2024-08-28 16:10:13,9.5
-65,FF:B5:B0:5D:C6:42,2024-08-28 16:10:15,9.5
-84,E4:23:79:6E:5C:5E,2024-08-28 16:10:17,9.5
-70,E4:23:79:6E:5C:5E,2024-08-28 16:10:19,9.5
-76,FF:B5:B0:5D:C6:42,2024-08-28 16:10:21,9.5
-65,FF:B5:B0:5D:C6:42,2024-08-28 16:10:23,9.5
-72,E4:58:30:CD:4E:6D,2024-08-28 16:10:23,9.5
-79,FF:B5:B0:5D:C6:42,2024-08-28 16:10:25,9.5
-76,E4:58:30:CD:4E:6D,2024-08-28 16:10:25,9.5
-65,FF:B5:B0:5D:C6:42,2024-08-28 16:10:27,9.5
-72,E4:58:30:CD:4E:6D,2024-08-28 16:10:27,9.5
-76,FF:B5:B0:5D:C6:42,2024-08-28 16:10:29,9.5
-80,FF:B5:B0:5D:C6:42,2024-08-28 16:10:31,9.5
-64,FF:B5:B0:5D:C6:42,2024-08-28 16:10:33,9.5
-72,E4:58:30:CD:4E:6D,2024-08-28 16:10:33,9.5
-76,FF:B5:B0:5D:C6:42,2024-08-28 16:10:35,9.5
-80,E4:23:79:6E:5C:5E,2024-08-28 16:10:35,9.5
-65,FF:B5:B0:5D:C6:42,2024-08-28 16:10:37,9.5
-81,E4:23:79:6E:5C:5E,2024-08-28 16:10:39,9.5
-71,E4:58:30:CD:4E:6D,2024-08-28 16:10:41,9.5
-80,E4:23:79:6E:5C:5E,2024-08-28 16:10:43,9.5
-70,E4:58:30:CD:4E:6D,2024-08-28 16:10:45,9.5
-79,E4:23:79:6E:5C:5E,2024-08-28 16:10:47,9.5
-76,FF:B5:B0:5D:C6:42,2024-08-28 16:10:49,9.5
-77,E4:58:30:CD:4E:6D,2024-08-28 16:10:49,9.5
-75,FF:B5:B0:5D:C6:42,2024-08-28 16:10:51,9.5
-71,E4:58:30:CD:4E:6D,2024-08-28 16:10:51,9.5
-69,FF:B5:B0:5D:C6:42,2024-08-28 16:10:53,9.5
-76,FF:B5:B0:5D:C6:42,2024-08-28 16:10:55,9.5
-87,E4:23:79:6E:5C:5E,2024-08-28 16:10:55,9.5
-77,FF:B5:B0:5D:C6:42,2024-08-28 16:10:57,9.5
-81,E4:23:79:6E:5C:5E,2024-08-28 16:10:57,9.5
-74,E4:23:79:6E:5C:5E,2024-08-28 16:13:07,10
-75,E4:58:30:CD:4E:6D,2024-08-28 16:13:08,10
-74,E4:23:79:6E:5C:5E,2024-08-28 16:13:09,10
-75,E4:58:30:CD:4E:6D,2024-08-28 16:13:10,10
-74,E4:23:79:6E:5C:5E,2024-08-28 16:13:11,10
-77,E4:23:79:6E:5C:5E,2024-08-28 16:13:13,10
-67,E4:58:30:CD:4E:6D,2024-08-28 16:13:14,10
-73,E4:23:79:6E:5C:5E,2024-08-28 16:13:15,10
-67,FF:B5:B0:5D:C6:42,2024-08-28 16:13:17,10
-90,DA:04:4D:0B:04:96,2024-08-28 16:13:17,10
-79,FF:B5:B0:5D:C6:42,2024-08-28 16:13:19,10
-89,DA:04:4D:0B:04:96,2024-08-28 16:13:19,10
