macAddress;timestampInMilliSeconds;lat;lng;type;id
00:42:79:D7:42:3A;1669224137962;47.3930666;8.5291846;JBL Flip 4;1
48:91:60:C8:CF:61;1669224140006;47.3930666;8.5291846;AppleDevice;2
71:78:2B:6E:DE:01;1669224139219;47.3930666;8.5291846;AppleDevice;3
6A:B3:F0:6D:0B:3A;1669224137981;47.3930666;8.5291846;AirTag;4
68:04:74:B9:80:84;1669224143740;47.3929936;8.5291781;AirPods;5
EF:B9:26:78:BA:10;1669224140030;47.3930666;8.5291846;iWocba10;6
60:99:E5:28:51:C6;1669224140819;47.3930666;8.5291846;AppleDevice;7
EC:A9:07:0C:4E:18;1669224143062;47.3929936;8.5291781;AppleDevice;8
54:5E:EF:3D:0C:29;1669224139351;47.3930666;8.5291846;AirPods;9
61:2E:D6:69:8C:BF;1669224140720;47.3930666;8.5291846;LE-Saras Bose;10
F6:43:B3:F3:4B:B6;1669224143701;47.3929936;8.5291781;Chipolo ONE Spot;11
DB:08:02:09:96:DD;1669224143686;47.3929936;8.5291781;AppleDevice;12
D5:DA:CB:E4:6C:71;1669224141476;47.3930666;8.5291846;AppleDevice;13
5A:9B:0B:64:F3:50;1669224139956;47.3930666;8.5291846;AirTag;14
3E:B5:CC:74:0E:01;1669224140043;47.3930666;8.5291846;AppleDevice;15
63:62:72:D9:99:15;1669224147353;47.3929275;8.5291808;Chipolo ONE Spot;16
24:4B:03:30:19:5C;1669224140832;47.3930666;8.5291846;Unknown;17
80:47:86:60:0A:9D;1669224143728;47.3929936;8.5291781;Unknown;18
B7:52:C6:2F:67:FD;1669224140759;47.3930666;8.5291846;ES600;19
F0:05:1E:AF:D8:67;1669224146633;47.3929936;8.5291781;AirTag;20
B9:D7:13:10:10:00;1669224137975;47.3930666;8.5291846;Tier;21
FA:B4:6A:C4:3B:2F;1669224140838;47.3930666;8.5291846;ENVY Photo 6200 series;22
0E:E1:A4:3C:26:59;1669224137971;47.3930666;8.5291846;AppleDevice;23
E2:CB:4A:EF:C9:4C;1669224143099;47.3929936;8.5291781;AppleDevice;24
FE:BB:00:64:8C:76;1669224143108;47.3929936;8.5291781;AppleDevice;25
6E:7B:07:31:CF:D5;1669224140824;47.3930666;8.5291846;AirTag;26
E7:67:3D:52:33:D5;1669224144432;47.3929936;8.5291781;AppleDevice;27
1A:8B:A3:71:30:BC;1669224140746;47.3930666;8.5291846;AppleDevice;28
50:FA:B5:3F:2F:01;1669224139391;47.3930666;8.5291846;AppleDevice;29
44:72:77:BB:EC:15;1669224141488;47.3930666;8.5291846;Chipolo ONE Spot;30
8E:89:6B:3F:EF:E8;1669224139358;47.3930666;8.5291846;ES600;31
47:57:3A:1A:50:59;1669224139215;47.3930666;8.5291846;Chipolo ONE Spot;32
FD:E2:06:02:8C:75;1669224148098;47.3929275;8.5291808;AppleDevice;33
1C:57:9E:98:84:45;1669224146624;47.3929936;8.5291781;AppleDevice;34
60:CD:50:28:6E:FB;1669224143103;47.3929936;8.5291781;AppleDevice;35
C0:D2:F3:83:C3:C5;1669224147358;47.3929275;8.5291808;DCS-8525LH-5257;36
19:FF:1A:37:20:9B;1669224143089;47.3929936;8.5291781;Unknown;37
59:01:60:5C:78:BE;1669224140013;47.3930666;8.5291846;Unknown;38
20:21:72:26:2D:71;1669224140828;47.3930666;8.5291846;AppleDevice;39
17:DC:F9:3C:05:97;1669224143082;47.3929936;8.5291781;AppleDevice;40
DE:5B:14:12:6D:CE;1669224148103;47.3929275;8.5291808;AppleDevice;41
62:95:D4:35:8E:97;1669224139980;47.3930666;8.5291846;Chipolo ONE Spot;42
88:C6:26:AD:1A:B2;1669224139381;47.3930666;8.5291846;Unknown;43
5F:15:4B:BB:A3:F1;1669224147372;47.3929275;8.5291808;Galaxy SmartTag+;44
D6:E8:65:0C:6C:85;1669224140785;47.3930666;8.5291846;AirPods;45
B8:4B:A3:90:6B:FD;1669224139205;47.3930666;8.5291846;ES600;46
C0:E3:3C:39:17:13;1669224139330;47.3930666;8.5291846;AppleDevice;47
FD:CF:DA:B0:8E:3D;1669224143720;47.3929936;8.5291781;AppleDevice;48
5A:E2:CE:34:42:00;1669224146610;47.3929936;8.5291781;AppleDevice;49
F4:DF:2A:DE:9C:EC;1669224140068;47.3930666;8.5291846;AppleDevice;50
6A:FE:F9:9D:89:89;1669224140689;47.3930666;8.5291846;Chipolo ONE Spot;51
76:86:97:7C:56:59;1669224139973;47.3930666;8.5291846;AirTag;52
7B:61:4E:B8:02:42;1669224143781;47.3929936;8.5291781;AppleDevice;53
D0:AF:CE:D5:8B:2A;1669224144488;47.3929936;8.5291781;AppleDevice;54
5C:BC:8E:8B:16:F5;1669224139217;47.3930666;8.5291846;AirTag;55
E4:FD:D5:75:A1:A9;1669224148764;47.3929275;8.5291808;AppleDevice;56
D7:DC:4E:67:F8:54;1669224140738;47.3930666;8.5291846;AppleDevice;57
4E:CE:AB:78:7E:E7;1669224147383;47.3929275;8.5291808;AirTag;58
04:00:A2:3F:40:2F;1669224145157;47.3929936;8.5291781;AppleDevice;59
76:5B:1F:7F:38:2E;1669224145174;47.3929936;8.5291781;Unknown;60
5F:0F:23:FA:7F:47;1669224139967;47.3930666;8.5291846;Chipolo ONE Spot;61
75:29:25:34:90:8E;1669224145214;47.3929936;8.5291781;Chipolo ONE Spot;62
77:CE:0B:0E:3A:69;1669224139376;47.3930666;8.5291846;AirPods;63
18:D9:8F:5D:24:A8;1669224140797;47.3930666;8.5291846;HONOR Band 5-4A8;64
79:9F:77:42:B5:B5;1669224140811;47.3930666;8.5291846;AirPods;65
10:94:97:02:0A:20;1669224147336;47.3929275;8.5291808;Unknown;66
64:DE:5F:97:69:54;1669224143052;47.3929936;8.5291781;AppleDevice;67
D1:2D:13:0C:B7:5E;1669224143751;47.3929936;8.5291781;Hue bulb Schlafzimmer;68
08:C1:9B:41:3B:B4;1669224140776;47.3930666;8.5291846;Unknown;69
6D:62:E6:3F:7B:1A;1669224146601;47.3929936;8.5291781;AppleDevice;70
B0:22:7A:AC:42:6D;1669224139194;47.3930666;8.5291846;Unknown;71
F9:D0:14:37:A1:17;1669224140680;47.3930666;8.5291846;AppleDevice;72
50:DE:06:82:10:9F;1669224141531;47.3930666;8.5291846;AppleDevice;73
54:E8:85:C4:3F:CA;1669224171588;47.3925933;8.5291876;Chipolo ONE Spot;74
F2:E4:05:BC:7A:B6;1669224178068;47.3925273;8.5291942;AppleDevice;75
08:54:6E:09:71:23;1669224168595;47.3926509;8.5291944;AppleDevice;76
64:D2:C4:B5:27:18;1669224169925;47.3926509;8.5291944;AppleDevice;77
23:79:7D:EA:14:42;1669224168544;47.3926509;8.5291944;AppleDevice;78
88:C6:26:7A:B8:FB;1669224168563;47.3926509;8.5291944;Unknown;79
54:F1:F9:1B:4F:54;1669224170802;47.3925933;8.5291876;AirTag;80
00:12:6F:5A:E4:EA;1669224172269;47.3925933;8.5291876;WOBURN II;81
5C:5C:A0:92:3A:04;1669224175228;47.3925273;8.5291942;Chipolo ONE Spot;82
CE:17:48:F8:30:50;1669224177388;47.3925273;8.5291942;AppleDevice;83
09:E3:0A:94:FF:75;1669224171612;47.3925933;8.5291876;AppleDevice;84
80:47:86:60:0A:9D;1669224168589;47.3926509;8.5291944;Unknown;85
C0:28:8D:45:FE:05;1669224178729;47.3925273;8.5291942;Unknown;86
24:4B:03:30:19:5C;1669224168598;47.3926509;8.5291944;Unknown;87
80:47:86:89:42:03;1669224170026;47.3926509;8.5291944;Unknown;88
47:50:63:71:B7:06;1669224169940;47.3926509;8.5291944;AppleDevice;89
50:DE:06:82:10:9F;1669224168549;47.3926509;8.5291944;AppleDevice;90
6C:4A:85:23:6E:3E;1669224178059;47.3925273;8.5291942;AppleDevice;91
1A:8B:A3:71:30:BC;1669224168585;47.3926509;8.5291944;AppleDevice;92
70:6D:69:85:3D:8D;1669224175948;47.3925273;8.5291942;Chipolo ONE Spot;93
6C:4A:85:01:AA:18;1669224170815;47.3925933;8.5291876;AppleDevice;94
DB:EE:05:2C:9F:97;1669224175212;47.3925273;8.5291942;Tile;95
8E:89:6B:3F:EF:E8;1669224169949;47.3926509;8.5291944;ES600;96
88:C6:26:EA:85:EF;1669224170070;47.3926509;8.5291944;Unknown;97
E7:67:3D:52:33:D5;1669224168581;47.3926509;8.5291944;AppleDevice;98
42:8B:F4:FB:55:12;1669224168604;47.3926509;8.5291944;AppleDevice;99
E2:CB:4A:EF:C9:4C;1669224175180;47.3925273;8.5291942;AppleDevice;100
4C:1C:7E:EA:98:82;1669224168577;47.3926509;8.5291944;Chipolo ONE Spot;101
43:BA:42:CF:B9:9A;1669224170019;47.3926509;8.5291944;AirTag;102
55:16:21:75:B6:53;1669224172263;47.3925933;8.5291876;AirPods;103
BC:7E:8B:A6:C1:BF;1669224179533;47.3924596;8.5292023;Unknown;104
62:95:D4:35:8E:97;1669224173702;47.3925933;8.5291876;Chipolo ONE Spot;105
4F:E5:91:6A:0B:90;1669224174480;47.3925933;8.5291876;AppleDevice;106
68:27:37:B3:BE:37;1669224168608;47.3926509;8.5291944;Unknown;107
C0:20:E9:52:E1:B8;1669224168614;47.3926509;8.5291944;AppleDevice;108
79:5F:74:92:19:FC;1669224175158;47.3925273;8.5291942;Unknown;109
D0:AF:CE:D5:8B:2A;1669224168572;47.3926509;8.5291944;AppleDevice;110
2E:E3:A2:0D:89:E4;1669224175966;47.3925273;8.5291942;AppleDevice;111
