macAddress;timestampInMilliSeconds;lat;lng;type;id
3B:01:CA:9D:82:4A;1669211518216;47.3929517;8.5291598;AppleDevice;1
E7:95:AB:EE:EC:D0;1669211516051;47.3930291;8.5291557;AppleDevice;2
63:F9:53:11:65:54;1669211507287;47.3931088;8.5291505;Chipolo ONE Spot;3
41:0F:D5:01:15:31;1669211507371;47.3931088;8.5291505;AirPods;4
C9:50:5A:BA:E0:06;1669211508810;47.3931088;8.5291505;Versa 4;5
64:D2:C4:E1:B4:9A;1669211514626;47.3930291;8.5291557;AppleDevice;6
51:E1:CC:A1:BD:4C;1669211508707;47.3931088;8.5291505;AirPods;7
C4:B8:F6:84:9E:ED;1669211510890;47.3931088;8.5291505;AppleDevice;8
EC:A9:07:0C:4E:18;1669211509471;47.3931088;8.5291505;AppleDevice;9
03:B5:56:92:5F:F0;1669211510864;47.3931088;8.5291505;Unknown;10
D0:D2:B0:93:C0:82;1669211512333;47.3930291;8.5291557;AppleDevice;11
4D:63:7B:53:B6:43;1669211508688;47.3931088;8.5291505;LE-Saras Bose;12
1E:2B:85:8D:30:3D;1669211513159;47.3930291;8.5291557;Unknown;13
D2:6C:38:F5:F5:40;1669211517525;47.3929517;8.5291598;AirTag;14
50:0E:48:83:B1:AA;1669211516755;47.3929517;8.5291598;AirTag;15
3E:B5:CC:74:0E:01;1669211509453;47.3931088;8.5291505;AppleDevice;16
21:3C:90:7F:3D:31;1669211517531;47.3929517;8.5291598;Unknown;17
4A:7C:AE:29:29:0D;1669211510265;47.3931088;8.5291505;AppleDevice;18
6E:E6:8D:2E:B7:A7;1669211507409;47.3931088;8.5291505;Unknown;19
4D:03:5F:A3:F5:25;1669211507375;47.3931088;8.5291505;Chipolo ONE Spot;20
69:49:89:15:56:7A;1669211510269;47.3931088;8.5291505;AirTag;21
C3:78:27:1A:C2:87;1669211510253;47.3931088;8.5291505;AppleDevice;22
80:47:86:60:0A:9D;1669211510244;47.3931088;8.5291505;Unknown;23
03:87:E8:60:20:B7;1669211513149;47.3930291;8.5291557;AppleDevice;24
B9:D7:13:10:10:00;1669211507358;47.3931088;8.5291505;Tier;25
B7:52:C6:2F:67:FD;1669211513094;47.3930291;8.5291557;ES600;26
70:B1:3D:9C:AC:1F;1669211510234;47.3931088;8.5291505;Unknown;27
1A:8B:A3:71:30:BC;1669211509444;47.3931088;8.5291505;AppleDevice;28
50:DE:06:82:10:9F;1669211509449;47.3931088;8.5291505;AppleDevice;29
B0:22:7A:AC:42:6D;1669211508700;47.3931088;8.5291505;Unknown;30
E3:74:96:63:D1:C9;1669211508824;47.3931088;8.5291505;AppleDevice;31
E2:44:0C:23:F2:2A;1669211508828;47.3931088;8.5291505;AppleDevice;32
C0:D2:F3:83:C3:C5;1669211518196;47.3929517;8.5291598;DCS-8525LH-5257;33
20:30:E4:39:F7:39;1669211507326;47.3931088;8.5291505;AppleDevice;34
4E:61:C2:74:90:A8;1669211507352;47.3931088;8.5291505;AirTag;35
F8:7A:45:D5:61:7E;1669211509458;47.3931088;8.5291505;Chipolo ONE Spot;36
8E:89:6B:3F:EF:E8;1669211507333;47.3931088;8.5291505;ES600;37
88:C6:26:EA:85:EF;1669211509462;47.3931088;8.5291505;Unknown;38
70:B1:3D:C4:BF:39;1669211507399;47.3931088;8.5291505;Unknown;39
0F:94:87:F6:C6:C8;1669211518227;47.3929517;8.5291598;AppleDevice;40
23:5B:F7:C7:BA:D2;1669211507406;47.3931088;8.5291505;AppleDevice;41
FA:B4:6A:C4:3B:2F;1669211510877;47.3931088;8.5291505;ENVY Photo 6200 series;42
50:4E:0B:C7:96:41;1669211507395;47.3931088;8.5291505;AirTag;43
50:98:09:D9:82:67;1669211513790;47.3930291;8.5291557;AirPods;44
78:84:40:73:0F:AC;1669211513139;47.3930291;8.5291557;Unknown;45
B8:4B:A3:90:6B:FD;1669211509428;47.3931088;8.5291505;ES600;46
55:49:D5:2D:77:ED;1669211513129;47.3930291;8.5291557;Unknown;47
71:D9:46:48:E6:33;1669211507380;47.3931088;8.5291505;AirTag;48
57:0F:BE:58:7A:0A;1669211510261;47.3931088;8.5291505;AppleDevice;49
00:53:9F:AE:36:DF;1669211516848;47.3929517;8.5291598;Unknown;50
