macAddress;timestampInMilliSeconds;lat;lng;type;id
6E:44:49:19:16:F3;1669217086329;47.3936825;8.5287127;AirPods;1
21:69:35:03:C1:9D;1669217093010;47.3936713;8.5287062;AppleDevice;2
D0:D2:B0:92:EF:25;1669217086407;47.3936825;8.5287127;AppleDevice;3
C8:CF:C9:FF:E2:EF;1669217086369;47.3936825;8.5287127;AppleDevice;4
64:D2:C4:E0:CC:80;1669217095863;47.3936557;8.5287922;AppleDevice;5
11:9B:D7:53:13:D1;1669217090023;47.3936825;8.5287127;AppleDevice;6
7E:EC:45:2A:84:21;1669217093717;47.3936713;8.5287062;AirPods;7
08:B8:19:AC:46:36;1669217088449;47.3936825;8.5287127;Unknown;8
58:E4:1E:8F:98:24;1669217097360;47.3936557;8.5287922;AppleDevice;9
C5:FF:A9:5E:91:49;1669217095118;47.3936713;8.5287062;AppleDevice;10
28:A7:36:BF:7B:42;1669217095780;47.3936557;8.5287922;Unknown;11
75:52:7E:6E:6E:FB;1669217092973;47.3936713;8.5287062;AppleDevice;12
72:99:63:65:38:01;1669217090034;47.3936825;8.5287127;Chipolo ONE Spot;13
70:8E:65:55:20:B0;1669217093652;47.3936713;8.5287062;Chipolo ONE Spot;14
71:F2:37:40:17:F8;1669217093754;47.3936713;8.5287062;AppleDevice;15
CC:5F:C5:D0:75:AE;1669217095832;47.3936557;8.5287922;AppleDevice;16
4E:A2:28:99:D6:F5;1669217086411;47.3936825;8.5287127;Chipolo ONE Spot;17
C1:B0:A9:68:16:D5;1669217096631;47.3936557;8.5287922;AppleDevice;18
62:C7:86:48:CA:82;1669217092921;47.3936713;8.5287062;AppleDevice;19
2D:DC:BB:8F:08:4F;1669217087755;47.3936825;8.5287127;AirTag;20
A0:D0:5B:1C:64:B1;1669217092200;47.3936713;8.5287062;Unknown;21
78:BD:BC:62:46:13;1669217086357;47.3936825;8.5287127;Unknown;22
72:09:FF:A5:F7:89;1669217087825;47.3936825;8.5287127;Chipolo ONE Spot;23
71:C3:26:FE:4F:03;1669217090025;47.3936825;8.5287127;AppleDevice;24
