macAddress;timestampInMilliSeconds;lat;lng;type;id
4A:48:82:44:F9:25;1669214200948;47.3932603;8.5290974;AppleDevice;1
04:EE:03:19:3E:9B;1669214196455;47.3933274;8.5291795;        ;2
CE:83:0E:83:28:AA;1669214203013;47.3931723;8.5290647;AppleDevice;3
F3:CB:AB:A2:6F:FC;1669214195842;47.3933274;8.5291795;AppleDevice;4
EA:AF:95:CC:1E:1C;1669214203836;47.3931723;8.5290647;AppleDevice;5
CA:D7:2D:C6:AB:85;1669214197933;47.3932603;8.5290974;AppleDevice;6
EC:A9:07:0C:4E:18;1669214196495;47.3933274;8.5291795;AppleDevice;7
DF:9B:DF:04:C6:3F;1669214193574;47.3933274;8.5291795;B4MA2214089126;8
6A:FB:55:19:A6:17;1669214197222;47.3932603;8.5290974;AirTag;9
4E:D2:8B:83:AD:1F;1669214200897;47.3932603;8.5290974;AirPods;10
DA:1C:AE:7E:1D:39;1669214193604;47.3933274;8.5291795;AppleDevice;11
DE:BC:D6:D0:FD:40;1669214201667;47.3932603;8.5290974;AppleDevice;12
E6:37:8A:37:EE:31;1669214197926;47.3932603;8.5290974;AppleDevice;13
78:DB:AE:33:D7:6B;1669214196432;47.3933274;8.5291795;LE-Saras Bose;14
EA:BA:F6:64:82:43;1669214203921;47.3931723;8.5290647;B4MA2215092609;15
EC:81:93:A6:03:5A;1669214201676;47.3932603;8.5290974;Unknown;16
72:9A:AA:BB:C5:15;1669214192891;47.3933274;8.5291795;AppleDevice;17
58:1A:77:B9:A1:A7;1669214195901;47.3933274;8.5291795;AirTag;18
C6:52:22:91:D5:F3;1669214193535;47.3933274;8.5291795;B4JA2215090612;19
C2:1C:DF:0C:92:82;1669214193557;47.3933274;8.5291795;B4MA2213088235;20
40:CB:C0:F3:A9:B7;1669214194285;47.3933274;8.5291795;AppleDevice;21
3E:B5:CC:74:0E:01;1669214194377;47.3933274;8.5291795;AppleDevice;22
C5:18:B9:19:3A:D8;1669214196486;47.3933274;8.5291795;Chipolo ONE Spot;23
