mac;timestampInMilliSeconds;type;id
67:E1:F3:9D:95:39;1669823691496;Galaxy SmartTag+;1
EA:15:3D:95:05:4D;1669823680616;Chipolo ONE Spot;2
DB:EE:05:2C:9F:97;1669823687112;Tile;3
F8:9D:D7:39:C1:F1;1669823742539;AirTag;4
