mac;timestampInMilliSeconds;type;id
D2:6C:38:F5:F5:40;1669209513046;AirTag;1
46:68:4A:AA:22:4D;1669209513018;Galaxy SmartTag+;2
F8:7A:45:D5:61:7E;1669209537094;Chipolo ONE Spot;3
24:4B:03:30:19:5C;1669209535723;Unknown;4
DB:EE:05:2C:9F:97;1669209544496;Tile;5
09:A4:FB:AE:74:23;1669209535758;AppleDevice;6
FC:F1:36:CE:A6:88;1669209564833;Unknown;7
D0:D0:03:1B:4B:69;1669209564830;Unknown;8
3E:14:F7:00:39:5E;1669209572902;AppleDevice;9
70:B1:3D:C4:BC:A5;1669209627311;Unknown;10
C0:28:8D:49:AC:E3;1669209657093;Unknown;11
43:52:17:0F:4C:BB;1669209689995;AirPods;12
C0:28:8D:4E:9E:73;1669209724339;Unknown;13
