mac;timestampInMilliSeconds;type;id
EA:15:3D:95:05:4D;1669824809065;Chipolo ONE Spot;1
7D:D2:5D:F9:B2:B9;1669824837401;Galaxy SmartTag+;2
F8:9D:D7:39:C1:F1;1669824865137;AirTag;3
DB:EE:05:2C:9F:97;1669824893654;Tile;4
