mac;timestampInMilliSeconds;type;id
DB:EE:05:2C:9F:97;1669224296305;Tile;1
5F:15:4B:BB:A3:F1;1669224321165;Galaxy SmartTag+;2
F6:43:B3:F3:4B:B6;1669224356216;Chipolo ONE Spot;3
F2:75:4C:F2:FD:05;1669224386162;AirTag;4
