mac;timestampInMilliSeconds;type;id
DD:CC:01:38:1F:4B;1669281766162;AirTag;1
D0:D0:03:1B:4B:69;1669281764675;Unknown;2
C9:F1:C5:E1:8A:CB;1669281766186;Chipolo ONE Spot;3
73:48:4D:0F:4F:E1;1669281796834;Galaxy SmartTag+;4
DB:EE:05:2C:9F:97;1669281801196;Tile;5
C0:28:8D:49:AC:E3;1669281913923;Unknown;6
