mac;timestampInMilliSeconds;type;id
C6:70:D3:55:24:22;1669278485057;AirTag;1
E4:96:D9:91:19:E8;1669278476988;Chipolo ONE Spot;2
73:B6:CF:68:15:EE;1669278506255;Galaxy SmartTag+;3
DB:EE:05:2C:9F:97;1669278513470;Tile;4
E1:6F:3F:EF:C8:1E;1669278574751;AppleDevice;5
