mac;timestampInMilliSeconds;type;id
F4:DA:76:9F:E4:97;1669294917351;AirTag;1
D8:05:5A:8C:61:E5;1669294917369;Chipolo ONE Spot;2
48:A2:A1:B9:1C:C9;1669294972101;Galaxy SmartTag+;3
DB:EE:05:2C:9F:97;1669295037865;Tile;4
