macAddress;timestampInMilliSeconds;lat;lng;type;id
D9:08:60:CC:01:25;1669823534568;47.393059;8.5291609;AppleDevice;1
E0:FF:F1:2F:AC:4E;1669823530236;47.393059;8.5291609;lime-931303658826;2
69:DD:47:E8:0D:2A;1669823538941;47.392994;8.5291488;AppleDevice;3
7E:33:68:2B:86:33;1669823530262;47.393059;8.5291609;AppleDevice;4
0A:E2:CC:E9:2B:A7;1669823531530;47.393059;8.5291609;AppleDevice;5
42:A1:26:1D:B1:2C;1669823531535;47.393059;8.5291609;Chipolo ONE Spot;6
48:9E:97:A7:9C:DB;1669823530150;47.393059;8.5291609;AppleDevice;7
EA:15:3D:95:05:4D;1669823530242;47.393059;8.5291609;Chipolo ONE Spot;8
C2:67:B4:38:01:6E;1669823530908;47.393059;8.5291609;AppleDevice;9
72:ED:6A:08:4F:0C;1669823533876;47.393059;8.5291609;AppleDevice;10
5F:B2:5C:D0:B1:DA;1669823538158;47.392994;8.5291488;AirPods;11
04:05:3A:B3:48:5D;1669823530187;47.393059;8.5291609;AppleDevice;12
EC:A9:07:0C:4E:18;1669823531022;47.393059;8.5291609;AppleDevice;13
11:DC:5D:28:3D:13;1669823531637;47.393059;8.5291609;AppleDevice;14
FA:3B:01:42:6E:FB;1669823531600;47.393059;8.5291609;AppleDevice;15
19:3E:1D:5B:24:D8;1669823538898;47.392994;8.5291488;AppleDevice;16
F5:1C:F8:3A:CD:21;1669823533084;47.393059;8.5291609;AppleDevice;17
00:DC:50:01:71:57;1669823534643;47.393059;8.5291609;Unknown;18
59:6A:CF:0A:06:D8;1669823537509;47.392994;8.5291488;Chipolo ONE Spot;19
6B:9F:51:F6:FD:E3;1669823540324;47.3929344;8.5291701;AppleDevice;20
3E:B5:CC:74:0E:01;1669823533141;47.393059;8.5291609;AppleDevice;21
80:47:86:60:0A:9D;1669823531026;47.393059;8.5291609;Unknown;22
79:B2:B7:28:CA:35;1669823538169;47.392994;8.5291488;Unknown;23
CD:6D:F2:4F:BD:B7;1669823531542;47.393059;8.5291609;AppleDevice;24
7E:B6:16:60:11:4E;1669823531581;47.393059;8.5291609;AirTag;25
11:6C:54:89:22:82;1669823530244;47.393059;8.5291609;AppleDevice;26
